pincode,office,office_type,delivery,taluk,district
600001,Chennai G.P.O.,H.O,Delivery,Chennai,Chennai
600001,Flower Bazaar S.O,S.O,Non-Delivery,NA,Chennai
600001,Govt Stanley Hospital S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600001,MPT AO S.O,S.O,Non-Delivery,Tondiarpet Fort St Goerge,Chennai
600001,Mannady S.O (Chennai),S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600001,Mint Building S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600001,Sowcarpet S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600002,Anna Road H.O,H.O,Delivery,Chennai,Chennai
600002,Chintadripet S.O,S.O,Non-Delivery,Chennai,Chennai
600002,Madras Electricity System S.O,S.O,Non-Delivery,Chennai,Chennai
600003,Edapalayam S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600003,Madras Medical College S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600003,Park Town H.O,H.O,Delivery,Tondiarpet Fort St George,Chennai
600003,Ripon Buildings S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600004,Mandaveli S.O,S.O,Non-Delivery,Chennai,Chennai
600004,Mylapore H.O,H.O,Delivery,Chennai,Chennai
600004,Vivekananda College Madras S.O,S.O,Non-Delivery,Chennai,Chennai
600005,Chepauk S.O,S.O,Non-Delivery,Chennai,Chennai
600005,Madras University S.O,S.O,Non-Delivery,Chennai,Chennai
600005,Tiruvallikkeni S.O,S.O,Delivery,Chennai,Chennai
600006,Greams Road S.O,S.O,Delivery,Chennai,Chennai
600006,Old College Buildings S.O,S.O,Non-Delivery,Chennai,Chennai
600006,Shastri Bhavan S.O,S.O,Non-Delivery,Chennai,Chennai
600006,Teynampet West S.O,S.O,Non-Delivery,Chennai,Chennai
600007,Vepery S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600008,Egmore ND S.O,S.O,Non-Delivery,NA,Chennai
600008,Egmore S.O,S.O,Delivery,NA,Chennai
600008,Ethiraj Salai S.O,S.O,Non-Delivery,Egmore Nungambakka,Chennai
600009,Fort St George S.O,S.O,Delivery,Tondiarpet Fort St George,Chennai
600010,Kilpauk Medical College S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600010,Kilpauk S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600010,Medavakkam Tank Road S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600011,Perambur North S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600011,Perambur S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600011,Sembiam S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600012,Perambur Barracks S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600012,Puliyanthope S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600012,Venkatesapuram S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600013,Rayapuram S.O,S.O,Delivery,Egmore Nungambakkam,Chennai
600014,Lloyds Estate S.O,S.O,Non-Delivery,Chennai,Chennai
600014,Royapettah S.O,S.O,Delivery,Chennai,Chennai
600014,Triplicane South S.O,S.O,Non-Delivery,Chennai,Chennai
600015,Guindy North S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600015,Saidapet S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600016,Alandur(Reopened W.E.F.6.6.05) S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600016,Chennai Airport S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600016,Meenambakkam S.O,S.O,Non-Delivery,Sriperumbudur,Kanchipuram
600016,St.Thomas Mount H.O,H.O,Delivery,Saidapet,Kanchipuram
600017,Hindi Prachar Sabha S.O,S.O,Non-Delivery,Chennai,Chennai
600017,Thygarayanagar H.O,H.O,Delivery,Chennai,Chennai
600017,Thygarayanagar North ND S.O,S.O,Non-Delivery,Chennai,Chennai
600017,Thygarayanagar South NDS.O,S.O,Non-Delivery,Chennai,Chennai
600018,Pr. Accountant General S.O,S.O,Non-Delivery,Chennai,Chennai
600018,Teynampet S.O,S.O,Delivery,Chennai,Chennai
600019,Kaladipet S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600019,Shanmugapuram S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600019,Tiruvottiyur S.O,S.O,Delivery,Ambattur,Tiruvallur
600019,Tiruvottiyur West S.O,S.O,Non-Delivery,NA,Tiruvallur
600019,Tondiarpet Rly Colony B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600020,Adyar S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600020,Kasturibai Nagar S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600020,Shastri Nagar S.O (Chennai),S.O,Non-Delivery,Chennai City Corporation,Chennai
600021,Washermanpet East S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600021,Washermanpet S.O,S.O,Delivery,Tondiarpet Fort St George,Chennai
600022,Rajbhavan S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600023,Aynavaram S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600024,Kodambakkam S.O,S.O,Delivery,Chennai City Corporation,Chennai
600025,Engineering College S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600026,Vadapalani S.O,S.O,Delivery,Chennai City Corporation,Chennai
600028,Raja Annamalaipuram S.O,S.O,Delivery,Chennai City Corporation,Chennai
600028,Ramakrishna Nagar S.O (Chennai),S.O,Non-Delivery,Chennai City Corporation,Chennai
600030,Aminjikarai S.O,S.O,Non-Delivery,Egmore Nungambakkam,Chennai
600030,Shenoy Nagar S.O,S.O,Delivery,Egmore Nungambakkam,Chennai
600031,Chetput S.O,S.O,Delivery,Egmore Nungambakkam,Chennai
600031,World University Centre S.O,S.O,Non-Delivery,Egmore Nungambakkm,Chennai
600032,Ekkaduthangal S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600032,Guindy Industrial Estate S.O,S.O,Delivery,Chennai City Corporation,Chennai
600033,Mambalam R.S. S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600033,West Mambalam S.O,S.O,Delivery,Chennai City Corporation,Chennai
600034,Loyola College S.O,S.O,Non-Delivery,Chennai,Chennai
600034,Nungambakkam High Road S.O,S.O,Non-Delivery,Chennai,Chennai
600034,Nungambakkam S.O,S.O,Delivery,Chennai,Chennai
600035,Nandanam S.O,S.O,Delivery,Chennai City Corporation,Chennai
600036,Indian Institute Of Technology S.O,S.O,Delivery,Chennai City Corporation,Chennai
600037,Mogappair S.O,S.O,Delivery,Ambattur,Tiruvallur
600037,Mogappair West S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600038,Icf Colony S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600039,Vyasar Nagar Colony S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600039,Vyasarpadi S.O,S.O,Delivery,Tondiarpet Fort St George,Chennai
600040,Anna Nagar S.O (Chennai),S.O,Delivery,Egmore Nungambakkam,Chennai
600041,Neelankarai B.O,B.O,Non-Delivery,Chennai City Corporation,Kanchipuram
600041,Palavakkam S.O (Kanchipuram),S.O,Non-Delivery,Saidapet,Kanchipuram
600041,Tiruvanmiyur S.O,S.O,Delivery,Chennai City Corporation,Chennai
600041,Valmiki Nagar S.O,S.O,Non-Delivery,Mylapore - Triplicane,Chennai
600042,Velacheri S.O,S.O,Delivery,Chennai City Corporation,Chennai
600043,Pallavaram S.O,S.O,Delivery,NA,Kanchipuram
600043,Rajajinagar S.O (Kanchipuram),S.O,Non-Delivery,NA,Kanchipuram
600043,Tirusulam S.O,S.O,Non-Delivery,NA,Kanchipuram
600044,Bharathipuram S.O (Kanchipuram),S.O,Non-Delivery,NA,Kanchipuram
600044,Chromepet S.O,S.O,Delivery,NA,Kanchipuram
600044,Darkash B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600044,Lakshmipuram B.O,B.O,Non-Delivery,NA,Kanchipuram
600044,Nagalkeni S.O,S.O,Non-Delivery,NA,Kanchipuram
600044,Nehrunagar B.O,B.O,Non-Delivery,NA,Kanchipuram
600044,Nemilichery B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600044,Radhanagar S.O (Kanchipuram),S.O,Non-Delivery,NA,Kanchipuram
600044,Tirumudivakkam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600044,Tiruneermalai B.O,B.O,Delivery,Tambaram,Kanchipuram
600045,Irumbuliyur B.O,B.O directly a/w Head Office,Non-Delivery,Tambaram,Kanchipuram
600045,MEPZ Tambaram S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600045,Tambaram H.O,H.O,Delivery,Tambaram,Kanchipuram
600045,Tambaram West S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600046,Tambaram IAF S.O,S.O,Delivery,Tambaram,Kanchipuram
600047,Kadaperi B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600047,Tambaram Sanatorium S.O,S.O,Delivery,Tambaram,Kanchipuram
600048,Mannivakkam B.O,B.O,Delivery,Chinglepet,Kanchipuram
600048,Mudichur S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600048,Otteri Extension B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600048,Vandalur S.O,S.O,Delivery,Tambaram,Kanchipuram
600049,Rajajinagar B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600049,Srinivasanagar B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600049,Tirumangalam Road S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600049,Villivakkam S.O,S.O,Delivery,Ambattur,Tiruvallur
600050,Jagadambigainagar B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600050,Korattur S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600050,Padi S.O,S.O,Delivery,Ambattur,Tiruvallur
600051,Madhavaram Milk Colony S.O,S.O,Delivery,Ponneri,Tiruvallur
600052,Alamathi B.O,B.O,Delivery,Ponneri,Tiruvallur
600052,Boochiathipattu B.O,B.O,Delivery,Ponneri,Tiruvallur
600052,Edapalayam B.O,B.O,Delivery,Ponneri,Tiruvallur
600052,Guruvoyal B.O,B.O,Delivery,Ponneri,Tiruvallur
600052,Padianallur S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600052,Pammadukulam B.O,B.O,Delivery,Ponneri,Tiruvallur
600052,Redhills S.O,S.O,Delivery,Ponneri,Tiruvallur
600052,Vadakarai B.O,B.O,Delivery,Ponneri,Tiruvallur
600052,Vilangadupakkam B.O,B.O,Delivery,Ponneri,Tiruvallur
600053,Ambattur H.O,H.O,Delivery,Ambattur,Tiruvallur
600053,Menambedu S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600053,Oragadam B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600053,Prithivipakkam S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600053,Thiruvengadnagar B.O,B.O,Delivery,Ambattur,Tiruvallur
600053,Vijayalakshmipuram S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600054,Avadi Camp H.O,H.O,Delivery,Ambattur,Tiruvallur
600054,Avadi S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600054,Cvrde S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600054,Gandhinagar B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600054,Tank Factory Avadi S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600055,Avadi IAF S.O,S.O,Delivery,Ambattur,Tiruvallur
600055,Koduvalli B.O,B.O,Delivery,Poonamallee,Tiruvallur
600055,Mittanamalli B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600055,Morai B.O,B.O,Delivery,Poonamallee,Tiruvallur
600055,Palavedu B.O,B.O,Delivery,Poonamallee,Tiruvallur
600055,Pandeeswaram B.O,B.O,Delivery,Poonamallee,Tiruvallur
600056,Iyyappanthangal S.O,S.O,Non-Delivery,Sriperumbudur,Kanchipuram
600056,Kattupakkam B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600056,Poonamallee East S.O,S.O,Non-Delivery,Poonamallee,Tiruvallur
600056,Poonamallee S.O,S.O,Delivery,Poonamalee,Tiruvallur
600056,Senneerkuppam B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600057,Ennore RS S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600057,Ennore Thermal Station S.O,S.O,Delivery,Ponneri,Tiruvallur
600057,Ernavur S.O,S.O,Non-Delivery,NA,Tiruvallur
600057,Kamarajnagar B.O,B.O,Non-Delivery,Ponneri,Tiruvallur
600058,Ambattur Indl Estate S.O,S.O,Delivery,Ambattur,Tiruvallur
600058,Athipattu B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600058,Ganapathipuram(CMT) B.O,B.O,Non-Delivery,NA,Kanchipuram
600059,Christian College Tambaram S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600059,Kasthuribainagar B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600059,LIC Colony B.O,B.O,Delivery,Tambaram,Kanchipuram
600059,Lic Colony Tambaram S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600059,State Bank Colony B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600059,Sundaram Colony B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600059,Tambaram East S.O,S.O,Delivery,Tambaram,Kanchipuram
600060,Madhavaram S.O (Tiruvallur),S.O,Delivery,Ponneri,Tiruvallur
600060,Moolakadai S.O,S.O,Non-Delivery,Gummidipoondi,Tiruvallur
600060,Vadaperumbakkam B.O,B.O,Delivery,Ambattur,Tiruvallur
600061,Nanganallur Bazaar S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600061,Nanganallur S.O,S.O,Delivery,Saidapet,Kanchipuram
600061,Pazhavanthangal S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600062,Kovilpadagai B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600062,Railway Carshed Complex S.O,S.O,Non-Delivery,Poonamallee,Tiruvallur
600062,Senthilnagar S.O,S.O,Non-Delivery,Poonamallee,Tiruvallur
600062,Tirumullaivoyal S.O,S.O,Delivery,Poonamallee,Tiruvallur
600062,Vellanur B.O,B.O,Delivery,Poonamallee,Tiruvallur
600062,Velnagar Vellanur S.O,S.O,Non-Delivery,Avadi,Tiruvallur
600063,Old Perungalathur B.O,B.O,Delivery,Tambaram,Kanchipuram
600063,Srinivasanagar East B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600063,Srinivasanagar S.O (Kanchipuram),S.O,Delivery,Tambaram,Kanchipuram
600064,Chitlapakkam S.O,S.O,Delivery,NA,Kanchipuram
600064,Hasthinapuram S.O,S.O,Non-Delivery,NA,Kanchipuram
600065,CRP camp S.O (Tiruvallur),S.O,Delivery,Ambattur,Tiruvallur
600066,Kadirvedu S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600066,Pozhal S.O,S.O,Delivery,Ponneri,Tiruvallur
600067,Alinjivakkam B.O,B.O,Delivery,Ponneri,Tiruvallur
600067,Budur B.O,B.O,Delivery,Ponneri,Tiruvallur
600067,Erumaivettipalayam B.O,B.O,Delivery,Ponneri,Tiruvallur
600067,Jagannathapuram B.O,B.O,Delivery,Ponneri,Tiruvallur
600067,Nayar B.O,B.O,Delivery,Ponneri,Tiruvallur
600067,Orakadu B.O,B.O,Delivery,Ponneri,Tiruvallur
600067,Sholavaram S.O,S.O,Delivery,Ponneri,Tiruvallur
600068,Manali S.O (Tiruvallur),S.O,Delivery,Ambattur,Tiruvallur
600069,Kunnathur S.O (Kanchipuram),S.O,Delivery,Sriperumbudur,Kanchipuram
600069,Nandambakkam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600069,Sirukalathur B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600069,Somangalam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600069,South Malayambakkam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600070,Anakaputhur S.O,S.O,Delivery,NA,Kanchipuram
600071,Kamarajnagar S.O,S.O,Delivery,Poonamallee,Tiruvallur
600071,Paruthipattu B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600072,Arignar Anna Nagar B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600072,Kolappancheri B.O,B.O,Delivery,Poonamallee,Tiruvallur
600072,Pattabiram S.O,S.O,Delivery,Poonamallee,Tiruvallur
600072,Soranjeri B.O,B.O,Delivery,Poonamallee,Tiruvallur
600072,Thandarai S.O,S.O,Non-Delivery,Poonamallee,Tiruvallur
600072,Voyalanallur B.O,B.O,Delivery,Poonamallee,Tiruvallur
600073,Gowriwakkam S.O,S.O,Non-Delivery,NA,Kanchipuram
600073,Rajakilpakkam B.O,B.O,Non-Delivery,Tambaram,Kanchipuram
600073,Selaiyur S.O,S.O,Delivery,NA,Kanchipuram
600074,Polichalur S.O,S.O,Delivery,Tambaram,Kanchipuram
600075,Pammal East S.O,S.O,Non-Delivery,NA,Kanchipuram
600075,Pammal S.O,S.O,Delivery,NA,Kanchipuram
600076,Korattur RS S.O,S.O,Delivery,Ambattur,Tiruvallur
600077,Ayapakkam B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600077,Numbal B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600077,Thiruverkadu S.O,S.O,Delivery,Poonamallee,Tiruvallur
600077,Veeraraghavapuram B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600078,Kalaignar Karunanidhi Nagar S.O,S.O,Delivery,Chennai City Corporation,Chennai
600081,Tondiarpet Bazaar S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600081,Tondiarpet S.O,S.O,Delivery,Tondiarpet Fort St George,Chennai
600081,Tondiarpet West S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600082,Agaram S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600082,G K M Colony S.O,S.O,Non-Delivery,Perambur Purawalkam,Chennai
600082,Jawahar Nagar S.O (Chennai),S.O,Delivery,Perambur Purasawalkam,Chennai
600082,Kumaran Nagar S.O,S.O,Non-Delivery,NA,Chennai
600083,Ashoknagar S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600083,Jafferkhanpet S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600084,Flowers Road S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600085,Kotturpuram S.O,S.O,Delivery,Chennai City Corporation,Chennai
600086,Gopalapuram S.O (Chennai),S.O,Delivery,Chennai,Chennai
600087,Alwarthirunagar S.O,S.O,Delivery,NA,Tiruvallur
600087,Valasaravakkam S.O,S.O,Non-Delivery,NA,Tiruvallur
600088,Adambakkam S.O,S.O,Delivery,NA,Kanchipuram
600088,Nilamangai Nagar S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600089,Nandambakkam Kudiyiruppu S.O,S.O,Delivery,Saidapet,Kanchipuram
600089,Ramapuram S.O (Kanchipuram),S.O,Non-Delivery,Saidapet,Kanchipuram
600090,Besantnagar S.O,S.O,Delivery,Chennai City Corporation,Chennai
600090,Rajaji Bhavan S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600091,Madipakkam S.O,S.O,Delivery,Saidapet,Kanchipuram
600091,Madipakkam South S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600092,Koyambedu Wholesale Market Com S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600092,Virugambakkam S.O,S.O,Delivery,Chennai City Corporation,Chennai
600093,Saligramam S.O,S.O,Delivery,Chennai City Corporation,Chennai
600094,Choolaimedu S.O,S.O,Delivery,Chennai,Chennai
600095,Ayanambakkam B.O,B.O,Delivery,Poonamallee,Tiruvallur
600095,Maduravoyal S.O,S.O,Delivery,Poonamalee,Tiruvallur
600095,Vanagaram B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600096,Perungudi S.O,S.O,Delivery,Saidapet,Kanchipuram
600097,Karapakkam S.O,S.O,Non-Delivery,NA,Kanchipuram
600097,Oggiamthoraipakkam S.O,S.O,Delivery,NA,Kanchipuram
600098,Sidco Estate S.O,S.O,Delivery,Ambattur,Tiruvallur
600099,Kolathur S.O,S.O,Delivery,Ambattur,Tiruvallur
600099,Lakshmipuram B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600100,Medavakkam  S.O,S.O,Delivery,Tambaram,Kanchipuram
600100,Pallikaranai S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600101,Anna Nagar Western Extn S.O,S.O,Delivery,Ambattur,Chennai
600102,Anna Nagar East S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600103,Andarkuppam B.O,B.O,Delivery,Ambattur,Tiruvallur
600103,Manali New Town S.O,S.O,Delivery,Gummidipoondi,Tiruvallur
600103,Vellivoyalchavadi B.O,B.O,Delivery,Ambattur,Tiruvallur
600103,Vichoor B.O,B.O,Delivery,Ambattur,Tiruvallur
600104,High Court Building S.O (Chennai),S.O,Delivery,Tondiarpet Fort St George,Chennai
600106,Arumbakkam S.O,S.O,Delivery,Maduravoyal,Chennai
600106,D G Vaishnav College S.O,S.O,Non-Delivery,Egmore Nungambakkam,Chennai
600107,Koyambedu S.O,S.O,Delivery,Maduravoyal,Chennai
600107,Nerkundram S.O,S.O,Non-Delivery,Chennai Corporation,Tiruvallur
600110,Ponniammanmedu S.O,S.O,Delivery,Ambattur,Tiruvallur
600113,TTTI Taramani S.O,S.O,Delivery,Chennai City Corporation,Chennai
600113,Tidel Park S.O,S.O,Non-Delivery,Mambalam,Chennai
600115,Injambakkam S.O,S.O,Delivery,Kancheepuram,Kanchipuram
600116,Alapakkam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600116,Porur S.O,S.O,Delivery,Sriperumbudur,Kanchipuram
600116,Sriramachandra Deemed Uty S.O,S.O,Non-Delivery,Sriperumbudur,Kanchipuram
600117,Bharathinagar B.O,B.O,Non-Delivery,NA,Kanchipuram
600117,Keelakattalai S.O,S.O,Non-Delivery,Tambaram,Kanchipuram
600117,Old Pallavaram S.O,S.O,Delivery,NA,Kanchipuram
600118,Erukkancheri B.O,B.O,Non-Delivery,Chennai,Chennai
600118,Kodungaiyur S.O,S.O,Delivery,Chennai City,Chennai
600118,Rv Nagar B.O,B.O,Non-Delivery,Chennai,Chennai
600119,Sathyabama University S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600119,Sholinganallur S.O,S.O,Delivery,Saidapet,Kanchipuram
600120,Nandiambakkam B.O,B.O,Delivery,Ambattur,Tiruvallur
600120,North Chennai Thermal PP S.O,S.O,Delivery,Ponneri,Tiruvallur
600120,Subbareddypalayam B.O,B.O,Delivery,Ambattur,Tiruvallur
600120,Vallur B.O,B.O,Delivery,Ambattur,Tiruvallur
600122,Gerugambakkam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600122,Mangadu S.O,S.O,Delivery,Sriperumbudur,Kanchipuram
600122,Paraniputhur B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600123,Malayambakkam B.O,B.O,Delivery,Poonamallee,Tiruvallur
600123,Nazarethpettai S.O,S.O,Delivery,Poonamallee,Tiruvallur
600123,Sembarambakkam B.O,B.O,Delivery,Poonamallee,Tiruvallur
600124,Kuttambakkam B.O,B.O,Delivery,Poonamallee,Tiruvallur
600124,Nemam B.O,B.O,Delivery,Poonamallee,Tiruvallur
600124,Puduchatram B.O,B.O,Delivery,Poonamallee,Tiruvallur
600124,Thirumushi S.O,S.O,Delivery,Poonamallee,Tiruvallur
600124,Udayarkoil B.O,B.O,Non-Delivery,Poonamallee,Tiruvallur
600124,Vellavedu B.O,B.O,Delivery,Poonamallee,Tiruvallur
600125,Manapakkam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600125,Mugalivakkam S.O,S.O,Delivery,Sriperumbudur,Kanchipuram
600126,Madambakkam S.O,S.O,Delivery,Tambaram,Kanchipuram
600126,Mappedu B.O,B.O,Delivery,Tambaram,Kanchipuram
600126,Sithalapakkam B.O,B.O,Delivery,Tambaram,Kanchipuram
600127,Kolapakkam B.O,B.O,Delivery,Chinglepet,Kanchipuram
600127,Kolathur B.O,B.O,Delivery,Chinglepet,Kanchipuram
600127,Mambakkam B.O,B.O,Delivery,Chinglepet,Kanchipuram
600127,Melakkottaiyur S.O,S.O,Delivery,Chengalpattu,Kanchipuram
600127,Nallambakkam B.O,B.O,Delivery,Chinglepet,Kanchipuram
600127,Ponmar B.O,B.O,Delivery,Chinglepet,Kanchipuram
600128,Kovur S.O,S.O,Delivery,Poonamallee,Tiruvallur
600128,Thandalam B.O,B.O,Delivery,Sriperumbudur,Kanchipuram
600129,Kovilambakkam S.O,S.O,Delivery,Sholinganallur,Kanchipuram
600130,Navalur B.O,B.O,Non-Delivery,Chinglepet,Kanchipuram
600130,Thazambur,S.O,Delivery,Tiruporur,Kanchipuram
601101,Arni CPT S.O,S.O,Delivery,Ponneri,Tiruvallur
601101,Panayancheri B.O,B.O,Delivery,Ponneri,Tiruvallur
601101,Pondavakkam B.O,B.O,Delivery,Ponneri,Tiruvallur
601101,Rallapadi B.O,B.O,Delivery,Ponneri,Tiruvallur
601102,Athivakkam B.O,B.O,Delivery,Kancheepuram,Kanchipuram
601102,Kannigaipair B.O,B.O,Delivery,Uttukottai,Tiruvallur
601102,Majankaranai B.O,B.O,Delivery,Uttukottai,Tiruvallur
601102,Mukkarambakkam B.O,B.O,Delivery,Uttukottai,Tiruvallur
601102,Nelvoy B.O,B.O,Delivery,NA,Tiruvallur
601102,Periapalayam S.O,S.O,Delivery,NA,Tiruvallur
601102,Thandalam B.O,B.O,Delivery,Uttukottai,Tiruvallur
601102,Vadamadurai B.O,B.O,Delivery,Uttukottai,Tiruvallur
601103,Damaraipakkam B.O,B.O,Delivery,Tiruvallur,Tiruvallur
601103,Enambakkam B.O,B.O,Delivery,Tiruvallur,Tiruvallur
601103,Kalpattu B.O,B.O,Delivery,Tiruvallur,Tiruvallur
601103,Meyyur B.O,B.O,Delivery,Tiruvallur,Tiruvallur
601103,Poorivakkam B.O,B.O,Delivery,NA,Tiruvallur
601103,Sembedu B.O,B.O,Delivery,Tiruvallur,Tiruvallur
601103,Tirukandalam B.O,B.O,Delivery,NA,Tiruvallur
601103,Velliyur B.O,B.O,Delivery,Tiruvallur,Tiruvallur
601103,Vengal S.O,S.O,Delivery,Uttukottai,Tiruvallur
601201,Arambakkam B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Devampattu B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Edoor B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Elavur B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Gummidipundi S.O,S.O,Delivery,Gummidipundi,Tiruvallur
601201,Iguvarpalayam B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Kallur B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Mangavaram B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,New Gummidipundi B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Periaobulapuam B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Podiyarankulam B.O,B.O,Delivery,Gummidpundi,Tiruvallur
601201,Siddharajakandigai B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Sirupulalpettai B.O,B.O,Delivery,Gummidipundi,Tiruvallur
601201,Spicto Industrial Estate S.O,S.O,Non-Delivery,Gummidipoondi,Tiruvallur
601201,Sunnambukulam B.O,B.O,Delivery,Gummidipundi,Tiruvallur
